City,Landuse,Time,Total_Population,Groundarea,R2_Population
Accra,Formal,1.0,73.246004372,0.00279866316,1.0
Accra,Formal,2.0,179.542313444,0.013282711320000001,1.0
Accra,Formal,3.0,341.18819906000004,0.028267545240000004,1.0
Accra,Formal,4.0,696.5576025800001,0.059005129320000016,1.0
Accra,Formal,5.0,1184.6339432000002,0.10360719600000001,1.0
Accra,Formal,6.0,1931.29638404,0.16573338928,1.0
Accra,Formal,7.0,2980.40916836,0.24730454855999998,1.0
Accra,Formal,8.0,4240.227644840002,0.3459764906400001,1.0
Accra,Formal,9.0,5579.125894280001,0.4512347364000001,1.0
Accra,Formal,10.0,6976.345158600001,0.5579718192,1.0
Accra,Formal,11.0,8422.395356760002,0.65999168352,1.0
Accra,Formal,12.0,9887.88587876,0.7720138947199999,1.0
Accra,Formal,13.0,11476.5600248,0.8885330564,1.0
Accra,Formal,14.0,13209.913412,1.01035889896,1.0
Accra,Formal,15.0,15134.67206,1.1486649316,1.0
Accra,Formal,16.0,17213.683518400005,1.3002806055200002,1.0
Accra,Formal,17.0,19505.76127840001,1.4674195904000005,1.0
Accra,Formal,18.0,22105.315633600003,1.6553670116000003,1.0
Accra,Formal,19.0,25408.952508400005,1.8817758658800003,1.0
Accra,Formal,20.0,28505.154802000005,2.1018228946,1.0
Accra,Formal,21.0,31487.118151600003,2.3226309618400003,1.0
Accra,Formal,22.0,34893.29158120001,2.5817412728800004,1.0
Accra,Formal,23.0,38077.5739372,2.8344312276,1.0
Accra,Formal,24.0,41079.3940348,3.08123544596,1.0
Accra,Formal,25.0,43894.11229,3.321673259,1.0
Accra,Formal,26.0,46860.2723356,3.60136826132,1.0
Accra,Formal,27.0,50320.8719708,3.91447102132,1.0
Accra,Formal,28.0,54016.806266,4.242132181400001,1.0
Accra,Formal,29.0,57435.16005800001,4.5463395542,1.0
Accra,Formal,30.0,60961.030430000006,4.864218353000001,1.0
Accra,Formal,31.0,64772.834959600004,5.202844632520001,1.0
Accra,Formal,32.0,68889.6811576,5.5626562,1.0
Accra,Formal,33.0,72573.08033440002,5.899837258000002,1.0
Accra,Formal,34.0,76324.77358960001,6.228301031200001,1.0
Accra,Formal,35.0,80227.17657200001,6.555212988600001,1.0
Accra,Formal,36.0,84432.64254320003,6.889422695160001,1.0
Accra,Formal,37.0,88184.74732400001,7.2202789137200005,1.0
Accra,Formal,38.0,91839.91371680002,7.5616247242400005,1.0
Accra,Formal,39.0,95525.93863840001,7.920915592480001,1.0
Accra,Formal,40.0,99780.977704,8.3364966988,1.0
Accra,Formal,41.0,104004.545912,8.773237062200002,1.0
Accra,Formal,42.0,108081.899648,9.21124075604,1.0
Accra,Formal,43.0,111891.032792,9.63549475916,1.0
Accra,Formal,44.0,115663.122392,10.04194497032,1.0
Accra,Formal,45.0,119515.14124000001,10.472227750000002,1.0
Accra,Formal,46.0,123401.58983200001,10.924641503200002,1.0
Accra,Formal,47.0,127131.754024,11.388190722400001,1.0
Accra,Formal,48.0,131708.699704,11.9155945128,1.0
Accra,Formal,49.0,136648.696112,12.460382858000001,1.0
Accra,Formal,50.0,141779.0132,13.00382039,1.0
Accra,Formal,51.0,146738.24165600003,13.532735860400003,1.0
Accra,Formal,52.0,151897.216736,14.071237140000001,1.0
Accra,Formal,53.0,157111.688424,14.614375136,1.0
Accra,Formal,54.0,162075.508032,15.152391428000001,1.0
Accra,Formal,55.0,166890.92496,15.663252128,1.0
Accra,Formal,56.0,171690.576584,16.161401908,1.0
Accra,Formal,57.0,176486.905116,16.647723848400002,1.0
Accra,Formal,58.0,180931.042404,17.087668299600004,1.0
Accra,Formal,59.0,185238.19076400003,17.510165965200002,1.0
Accra,Formal,60.0,189509.4978,17.932749586,1.0
Accra,Formal,61.0,193865.703,18.378237511600002,1.0
Accra,Formal,62.0,197613.123944,18.7780656356,1.0
Accra,Formal,63.0,201627.18986,19.189322126,1.0
Accra,Formal,64.0,205983.57102000003,19.6220554484,1.0
Accra,Formal,65.0,210336.5301,20.089516694000004,1.0
Accra,Formal,66.0,214336.79486400002,20.529384415200003,1.0
Accra,Formal,67.0,218199.30768000003,20.960113416000002,1.0
Accra,Formal,68.0,222057.61992,21.393790764,1.0
Accra,Formal,69.0,225382.93959199998,21.7759305788,1.0
Accra,Formal,70.0,228810.22752000001,22.172637066,1.0
Accra,Formal,71.0,232219.893396,22.576502256,1.0
Accra,Formal,72.0,235008.16597200002,22.945767792,1.0
Accra,Formal,73.0,237415.9895,23.2602058336,1.0
Accra,Formal,74.0,239834.48273199997,23.56969194,1.0
Accra,Formal,75.0,242440.5565,23.89601286,1.0
Accra,Formal,76.0,245220.098644,24.2236076256,1.0
Accra,Formal,77.0,248228.05240000002,24.563602458000002,1.0
Accra,Formal,78.0,251477.54709600002,24.914644208400002,1.0
Accra,Formal,79.0,255063.70012800003,25.276731841200004,1.0
Accra,Formal,80.0,258045.2664,25.608638286,1.0
Accra,Formal,81.0,260608.242968,25.915610794,1.0
Accra,Formal,82.0,262779.571972,26.1978146296,1.0
Accra,Formal,83.0,264618.42986800004,26.4605271424,1.0
Accra,Formal,84.0,266430.1105,26.736418660000002,1.0
Accra,Formal,85.0,268204.48306,27.011949564000002,1.0
Accra,Formal,86.0,269917.185076,27.2694101664,1.0
Accra,Formal,87.0,271441.757492,27.4938590248,1.0
Accra,Formal,88.0,272809.492928,27.7098549712,1.0
Accra,Formal,89.0,274049.272208,27.924131642400003,1.0
Accra,Formal,90.0,275331.96848,28.159265664000003,1.0
Accra,Formal,91.0,276740.57947600004,28.3988265756,1.0
Accra,Formal,92.0,278009.60086,28.6232046852,1.0
Accra,Formal,93.0,278902.58554,28.8138118908,1.0
Accra,Formal,94.0,279924.867732,29.0215722392,1.0
Accra,Formal,95.0,280931.89898,29.236984788,1.0
Accra,Formal,96.0,281876.175836,29.4485172588,1.0
Accra,Formal,97.0,282598.107452,29.614076571600002,1.0
Accra,Formal,98.0,283290.199916,29.7704868508,1.0
Accra,Formal,99.0,283977.398788,29.927211099999997,1.0
Accra,Formal,100.0,284670.3049,30.08853646,1.0
Accra,Formal,101.0,285286.389316,30.2291902816,1.0
Accra,Formal,102.0,285784.984008,30.349616740000002,1.0
Accra,Formal,103.0,286182.48270399997,30.4513938016,1.0
Accra,Formal,104.0,286487.827072,30.532949828800003,1.0
Accra,Formal,105.0,286728.6031,30.6032278,1.0
Accra,Formal,106.0,286942.18322,30.6664788384,1.0
Accra,Formal,107.0,287138.606384,30.7243276248,1.0
Accra,Formal,108.0,287346.85889599996,30.7917287112,1.0
Accra,Formal,109.0,287588.681552,30.8733553848,1.0
Accra,Formal,110.0,287854.65422,30.961805196,1.0
Accra,Formal,111.0,288139.775732,31.0495019016,1.0
Accra,Formal,112.0,288322.49462,31.1044406552,1.0
Accra,Formal,113.0,288464.58755600004,31.1457925376,1.0
Accra,Formal,114.0,288584.42902000004,31.1791557936,1.0
Accra,Formal,115.0,288748.8637,31.224547056,1.0
Accra,Formal,116.0,288904.497952,31.264808222,1.0
Accra,Formal,117.0,289059.713272,31.30375889,1.0
Accra,Formal,118.0,289220.860288,31.34403479,1.0
Accra,Formal,119.0,289361.56188,31.3777864776,1.0
Accra,Formal,120.0,289501.44728,31.40951184,1.0
Accra,Formal,121.0,289647.615188,31.4396094012,1.0
Accra,Formal,122.0,289823.649716,31.4681381484,1.0
Accra,Formal,123.0,290082.371828,31.5048961124,1.0
Accra,Formal,124.0,290367.4311,31.5496898608,1.0
Accra,Formal,125.0,290656.7523,31.60341652,1.0
Accra,Formal,126.0,290899.455228,31.6460330176,1.0
Accra,Formal,127.0,291198.98930400005,31.6976414388,1.0
Accra,Formal,128.0,291538.63182400004,31.751818628400002,1.0
Accra,Formal,129.0,291892.075432,31.7949590412,1.0
Accra,Formal,130.0,292188.9091,31.83434727,1.0
Accra,Formal,131.0,292454.501132,31.8726941724,1.0
Accra,Formal,132.0,292690.348608,31.9098995732,1.0
Accra,Formal,133.0,292843.831152,31.9338808508,1.0
Accra,Formal,134.0,292925.152368,31.9507430612,1.0
Accra,Formal,135.0,292963.00368,31.963762850000002,1.0
Accra,Formal,136.0,292981.642968,31.97604713,1.0
Accra,Formal,137.0,293001.943312,31.9918912564,1.0
Accra,Formal,138.0,293016.649132,32.003239108,1.0
Accra,Formal,139.0,293024.686796,32.0090319648,1.0
Accra,Formal,140.0,293025.79646000004,32.009914908,1.0
Accra,Formal,141.0,293026.1047,32.01016017,1.0
Accra,Formal,142.0,293026.1047,32.01016017,1.0
Accra,Formal,143.0,293026.1047,32.01016017,1.0
Accra,Formal,144.0,293026.1047,32.01016017,1.0
Accra,Formal,145.0,293026.1047,32.01016017,1.0
Accra,Formal,146.0,293026.38886,32.010289207199996,1.0
Accra,Formal,147.0,293028.09382,32.0110634304,1.0
Accra,Formal,148.0,293029.7607,32.0119580872,1.0
Accra,Formal,149.0,293031.121132,32.012717706000004,1.0
Accra,Formal,150.0,293032.0171,32.01321105,1.0
Accra,Formal,151.0,293032.747972,32.0137692084,1.0
Accra,Formal,152.0,293033.0322,32.01398627,1.0
Accra,Formal,153.0,293033.283176,32.0140302796,1.0
Accra,Formal,154.0,293034.412568,32.014228322799994,1.0
Accra,Formal,155.0,293034.6008,32.01426133,1.0
Accra,Formal,156.0,293034.6008,32.01426133,1.0
Accra,Formal,157.0,293034.6008,32.01426133,1.0
Accra,Formal,158.0,293034.6008,32.01426133,1.0
Accra,Formal,159.0,293034.6008,32.01426133,1.0
Accra,Formal,160.0,293034.6008,32.01426133,1.0
Accra,Formal,161.0,293034.6008,32.01426133,1.0
Accra,Formal,162.0,293034.6008,32.01426133,1.0
Accra,Formal,163.0,293034.6008,32.01426133,1.0
Accra,Formal,164.0,293034.6008,32.01426133,1.0
Accra,Formal,165.0,293034.6008,32.01426133,1.0
Accra,Formal,166.0,293034.6008,32.01426133,1.0
Accra,Formal,167.0,293034.6008,32.01426133,1.0
Accra,Formal,168.0,293034.6008,32.01426133,1.0
Accra,Formal,169.0,293034.6008,32.01426133,1.0
Accra,Formal,170.0,293034.6008,32.01426133,1.0
Accra,Formal,171.0,293034.6008,32.01426133,1.0
Accra,Formal,172.0,293034.6008,32.01426133,1.0
Accra,Formal,173.0,293034.6008,32.01426133,1.0
Accra,Formal,174.0,293034.6008,32.01426133,1.0
Accra,Formal,175.0,293034.6008,32.01426133,1.0
Accra,Formal,176.0,293034.6008,32.01426133,1.0
Accra,Formal,177.0,293034.6008,32.01426133,1.0
Accra,Formal,178.0,293034.6008,32.01426133,1.0
Accra,Formal,179.0,293034.6008,32.01426133,1.0
Accra,Formal,180.0,293034.6008,32.01426133,1.0
Accra,Formal,181.0,293034.6008,32.01426133,1.0
Accra,Formal,182.0,293034.6008,32.01426133,1.0
Accra,Formal,183.0,293034.6008,32.01426133,1.0
Accra,Formal,184.0,293034.6008,32.01426133,1.0
Accra,Formal,185.0,293034.6008,32.01426133,1.0
Accra,Formal,186.0,293034.6008,32.01426133,1.0
Accra,Formal,187.0,293034.6008,32.01426133,1.0
Accra,Formal,188.0,293034.6008,32.01426133,1.0
Accra,Formal,189.0,293034.6008,32.01426133,1.0
Accra,Formal,190.0,293034.6008,32.01426133,1.0
Accra,Formal,191.0,293034.6008,32.01426133,1.0
Accra,Formal,192.0,293034.6008,32.01426133,1.0
Accra,Formal,193.0,293034.6008,32.01426133,1.0
Accra,Formal,194.0,293034.6008,32.01426133,1.0
Accra,Formal,195.0,293034.6008,32.01426133,1.0
Accra,Formal,196.0,293034.6008,32.01426133,1.0
Accra,Formal,197.0,293034.6008,32.01426133,1.0
Accra,Formal,198.0,293034.6008,32.01426133,1.0
Accra,Formal,199.0,293034.6008,32.01426133,1.0
