City,Normalized_Population_Formal,Population_Lower_Formal,Population_Upper_Formal,Normalized_Population_Informal,Population_Lower_Informal,Population_Upper_Informal,Normalized_Population_Ratio,Population_upper_ratio,Population_lower_ratio
Accra,0.0243323230185752,0.0155186304737993,0.0384952867181361,0.023350986107218,0.0149065344692563,0.0343850854931527,1.042025501914622,2.582443746232901,0.4513186531669265
Addis Ababa,0.2485023962779243,0.1753196013829845,0.3231459890842117,0.109509911162482,0.0769408969728843,0.1374678297755925,2.2692228825682856,4.199924900772805,1.2753500340347457
Arusha,0.1467060372098909,0.1125634446629969,0.1815928898980634,0.0671477516154517,0.0409165904392091,0.0967811988595957,2.1848242670888127,4.438123703583292,1.1630714021872899
Bamako,0.1304441842195502,0.0968447533493633,0.1643553315500801,0.0739097381531117,0.0463114402556906,0.1014194721381558,1.7649120059026797,3.5489142778254377,0.9548930921020696
Beira,0.058106813898357,0.0522268540605719,0.0614414352150771,0.009941186632903,0.0059229771590463,0.0152993194922258,5.845058144873475,10.37340404415306,3.4136717052748957
Gombe,0.0322318226964716,0.0263167882309275,0.0484960396850824,0.0328614970411846,0.021439484569432,0.0462843299344448,0.9808385374554348,2.261996529255517,0.5685895910819386
Ibadan,0.0370709924825379,0.024741596503583,0.0556906879728285,0.0286706018812495,0.0168829588008074,0.0409081225185721,1.2929966603450427,3.298633173834742,0.6048088980947592
Johannesburg,0.0053961261892017,0.0028367621224849,0.0096133297889785,0.0009063961912794,0.0001820655203891,0.0022172949064513,5.95338577226912,52.80148469865926,1.279379713646226
Kampala,0.0350139537787169,0.0211820558820921,0.0532601552456757,0.0609647291881686,0.0386562336554643,0.0842264721290049,0.5743313264075327,1.3777895622313698,0.2514892924596052
Khartoum,0.3412255687987316,0.2380399557862362,0.4268619647353816,0.0570845707815389,0.0379773221725328,0.0790690458784861,5.97754461717147,11.239917411662866,3.0105327962608506
Kigali,0.0609752401364195,0.0334690514654121,0.0917953652983482,0.0305216177148044,0.0177386255304713,0.0436645246746439,1.9977722251217267,5.174886021505031,0.766504426987331
Kinsasha,0.0054833804942112,0.004675591555096,0.0079187341607355,0.0322951524979673,0.0193195967008949,0.0482609487223059,0.16978958357779333,0.40988092470733084,0.09688146791310324
Lagos,0.0261036631727372,0.0179181866630582,0.038467322839657,0.0411669115747114,0.0251309009333531,0.0611810177623871,0.6340933087818162,1.530678225252328,0.29287166703647016
Luanda,0.0636787392120041,0.0445004349803765,0.0864464856871537,0.0204405916363143,0.0136776705256534,0.0295571900589165,3.115308027526653,6.320263785051514,1.5055705529407075
Lubumbashi,0.0403830144933202,0.0268358157491701,0.0531446717702217,0.0006905519787552,0.0001948777855957,0.0015743340705985,58.479326300845976,272.70769527562993,17.045820356900602
Nakuru,0.0045041041849057,0.0040046199056715,0.0066714112032362,2.4004881848051903e-05,2.4004881848051903e-05,2.4004881848051903e-05,187.6328412452164,277.918935217655,166.82522876056112
Oyo,0.1345920787947174,0.0811198332173598,0.2006688654022724,0.0890657765926769,0.057450276450003,0.1265083097559532,1.5111537107035535,3.4929138343991717,0.6412213820091963
Port-Elizabeth,0.0114898050567938,0.0052148863997858,0.0226411354965255,0.0059929037512595,0.0015197736098658,0.0147559935003401,1.9172350389206638,14.897702756218258,0.3534080168621385
