City,Normalized_Population,Population_Lower,Population_Upper
Accra,0.998568212717593,0.9933273392413585,0.9985706810629527
Addis Abeba,0.9537832632456981,0.9333493762462141,0.9728848779073151
Bamako,0.9987295956105425,0.9953159054611972,0.999193417305551
Beira,0.9936630237951157,0.9935357041656263,0.9939553791128641
Gombe,0.9472291040497302,0.9316790497988126,0.9560481539640387
Ibadan,0.9998056203044777,0.9996579941856645,0.9998726862439036
Johannesburg,0.999982794535165,0.9978102821024405,0.9999877839418185
Kampala,0.9970383682485686,0.9970383682485686,0.9970651918321894
Khartoum,0.9350253531419203,0.8742918581257755,0.9812575012852275
Kigali,0.9995688313966946,0.9994802051262974,0.9995688313966946
Kinshasa,0.9988979221310244,0.9988901232489392,0.9989166207606366
Lagos,0.9953949951036362,0.9938033791598404,0.9973921172740173
Luanda,0.710288327699619,0.6335252419602837,0.7691623092186406
Lubumbashi,0.9993149984897522,0.9993006117007275,0.9993804103368985
Nakuru,1.0,1.0,1.0
Ndola,0.9854490964446808,0.9728598339180116,0.9873556205529783
Oyo,0.9836959380995678,0.9812874513497277,0.9889362498852704
Port-Elizabeth,0.9989125687994126,0.9982739732983692,0.9990277344924745
Arusha,0.9999887310919495,0.999955174008727,1.0000000000000002
